tweet_id,timestamp,text,name,rating,dog_stage,favourite_count,retweets_count,p1,p1_dog,p2,p2_dog,p3,p3_dog
891689557279858688,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,13.0,None,41542,8507,Paper Towel,False,Labrador Retriever,True,Spatula,False
891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,12.0,None,39727,9213,Basset,True,English Springer,True,German Short-Haired Pointer,True
891087950875897856,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,None,13.0,None,19938,3065,Chesapeake Bay Retriever,True,Irish Terrier,True,Indian Elephant,False
890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,13.0,None,11670,2031,Appenzeller,True,Border Collie,True,Ice Lolly,False
890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,None,13.0,None,64480,18571,Pomeranian,True,Eskimo Dog,True,Pembroke,True
890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,13.0,None,27402,4206,Irish Terrier,True,Irish Setter,True,Chesapeake Bay Retriever,True
890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,14.0,doggo,31451,7271,Pembroke,True,Cardigan,True,Chihuahua,True
890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,13.0,None,30238,7218,Samoyed,True,Pomeranian,True,Chow,True
889880896479866881,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,13.0,None,27396,4898,French Bulldog,True,Labrador Retriever,True,Muzzle,False
889665388333682689,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,None,13.0,puppo,47428,9898,Pembroke,True,Cardigan,True,Basenji,True
889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,12.0,None,26774,4473,French Bulldog,True,Boxer,True,Staffordshire Bullterrier,True
